"var_name","num_of_nonmissing","pc_of_nonmissing","num_of_missing","pc_of_missing","mean","std","min","p5","p10","p25","p50","p75","p90","p95","p99","max"
"n_pre2_loc",950,"15.54%",5162,"84.46%",-0.89,0.43,-1,-1,-1,-1,-1,-1,-1,0,1,3
"n_pre3_adh_given",6112,"100.00%",0,"0.00%",0.1,0.3,0,0,0,0,0,0,1,1,1,1
"n_pre3_adh_needsaid",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre3_adh_no",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre3_part_completely",6112,"100.00%",0,"0.00%",0.06,0.25,0,0,0,0,0,0,0,1,1,1
"n_pre3_part_notpossible",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre3_part_restricted",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre3_visreas_comp",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre3_visreas_fu",6112,"100.00%",0,"0.00%",0.09,0.28,0,0,0,0,0,0,0,1,1,1
"n_pre3_visreas_prog",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre3_visreas_relapse",6112,"100.00%",0,"0.00%",0.02,0.14,0,0,0,0,0,0,0,0,1,1
"n_pre3_visreas_sideff",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre3_visreas_patwish",6112,"100.00%",0,"0.00%",0.01,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre3_qdeg_disab",1054,"17.24%",5058,"82.76%",0.71,0.81,0,0,0,0,1,1,2,2,3,4
"n_pre3_deg_disab",688,"11.26%",5424,"88.74%",35.99,28.98,0,0,0,0,40,60,70,80,100,100
"n_pre3_loc",361,"5.91%",5751,"94.09%",-0.85,0.57,-1,-1,-1,-1,-1,-1,-1,0,2,3
"n_pre0_csf_igg",6112,"100.00%",0,"0.00%",0.16,0.37,0,0,0,0,0,0,1,1,1,1
"n_pre0_csf_cellcnt",1020,"16.69%",5092,"83.31%",14.5,39.48,0,1,1,3,7,15,30,47.0999999999999,100.81,678
"n_pre0_csf_olig",6112,"100.00%",0,"0.00%",0.24,0.43,0,0,0,0,0,0,1,1,1,1
"n_pre0_csf_prot",6112,"100.00%",0,"0.00%",0.06,0.23,0,0,0,0,0,0,0,1,1,1
"n_pre0_csf_path",6112,"100.00%",0,"0.00%",0.23,0.42,0,0,0,0,0,0,1,1,1,1
"n_pre0_med_jcv",6112,"100.00%",0,"0.00%",0.03,0.18,0,0,0,0,0,0,0,0,1,1
"n_pre0_med_lsec",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre0_med_nab",6112,"100.00%",0,"0.00%",0.01,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre0_med_vzv",6112,"100.00%",0,"0.00%",0.03,0.17,0,0,0,0,0,0,0,0,1,1
"n_pre0_med_acnat",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre1_csf_igg",6112,"100.00%",0,"0.00%",0.13,0.34,0,0,0,0,0,0,1,1,1,1
"n_pre1_csf_cellcnt",816,"13.35%",5296,"86.65%",15.01,43.32,0,1,1,3,7,15,30,49,100.85,678
"n_pre1_csf_olig",6112,"100.00%",0,"0.00%",0.19,0.39,0,0,0,0,0,0,1,1,1,1
"n_pre1_csf_prot",6112,"100.00%",0,"0.00%",0.05,0.21,0,0,0,0,0,0,0,0,1,1
"n_pre1_csf_path",6112,"100.00%",0,"0.00%",0.18,0.39,0,0,0,0,0,0,1,1,1,1
"n_pre1_med_jcv",6112,"100.00%",0,"0.00%",0.01,0.1,0,0,0,0,0,0,0,0,0,1
"n_pre1_med_lsec",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre1_med_nab",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre1_med_vzv",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,1
"n_pre1_med_acnat",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre2_csf_igg",6112,"100.00%",0,"0.00%",0.09,0.29,0,0,0,0,0,0,0,1,1,1
"n_pre2_csf_cellcnt",582,"9.52%",5530,"90.48%",14.59,43.05,0,1,1,3,6,15,29.9,46.8999999999999,100.19,678
"n_pre2_csf_olig",6112,"100.00%",0,"0.00%",0.14,0.35,0,0,0,0,0,0,1,1,1,1
"n_pre2_csf_prot",6112,"100.00%",0,"0.00%",0.03,0.17,0,0,0,0,0,0,0,0,1,1
"n_pre2_csf_path",6112,"100.00%",0,"0.00%",0.13,0.34,0,0,0,0,0,0,1,1,1,1
"n_pre2_med_jcv",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre2_med_lsec",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre2_med_nab",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre2_med_vzv",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre2_med_acnat",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_csf_igg",6112,"100.00%",0,"0.00%",0.07,0.26,0,0,0,0,0,0,0,1,1,1
"n_pre3_csf_cellcnt",435,"7.12%",5677,"92.88%",13.45,36.91,0,1,1,3,6,14,24.6,35.3,100.66,613
"n_pre3_csf_olig",6112,"100.00%",0,"0.00%",0.11,0.31,0,0,0,0,0,0,1,1,1,1
"n_pre3_csf_prot",6112,"100.00%",0,"0.00%",0.02,0.15,0,0,0,0,0,0,0,0,1,1
"n_pre3_csf_path",6112,"100.00%",0,"0.00%",0.1,0.3,0,0,0,0,0,0,0,1,1,1
"n_pre3_med_jcv",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre3_med_lsec",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_med_nab",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre3_med_vzv",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre3_med_acnat",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre0_drug2",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug3",6112,"100.00%",0,"0.00%",0.04,0.19,0,0,0,0,0,0,0,0,1,1
"n_pre0_drug4",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,1,1
"n_pre0_drug5",6112,"100.00%",0,"0.00%",0.02,0.15,0,0,0,0,0,0,0,0,1,1
