"var_name","num_of_nonmissing","pc_of_nonmissing","num_of_missing","pc_of_missing","mean","std","min","p5","p10","p25","p50","p75","p90","p95","p99","max"
"n_pre3_drug13",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug14",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug15",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug16",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug17",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_drug18",6112,"100.00%",0,"0.00%",0.08,0.27,0,0,0,0,0,0,0,1,1,1
"n_pre3_drug19",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_drug20",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,1,1
"n_pre3_drug21",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_drug22",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug23",6112,"100.00%",0,"0.00%",0.01,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug24",6112,"100.00%",0,"0.00%",0.04,0.21,0,0,0,0,0,0,0,0,1,1
"n_pre3_drug25",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug26",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_drug27",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug28",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug29",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug30",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug31",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug32",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,1,1
"n_pre3_drug33",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug34",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug35",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_drug36",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_drug37",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug38",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug39",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug40",6112,"100.00%",0,"0.00%",0.02,0.14,0,0,0,0,0,0,0,0,1,1
"n_pre3_drug41",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug42",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre1_edssprog",3540,"57.92%",2572,"42.08%",0.13,0.33,0,0,0,0,0,0,1,1,1,1
"n_pre2_edssprog",1928,"31.54%",4184,"68.46%",0.11,0.31,0,0,0,0,0,0,1,1,1,1
"n_pre3_edssprog",1167,"19.09%",4945,"80.91%",0.1,0.3,0,0,0,0,0,0,1,1,1,1
"n_pre1_edssconf3",3540,"57.92%",2572,"42.08%",0.09,0.29,0,0,0,0,0,0,0,1,1,1
"n_pre2_edssconf3",1928,"31.54%",4184,"68.46%",0.09,0.29,0,0,0,0,0,0,0,1,1,1
"n_pre3_edssconf3",1167,"19.09%",4945,"80.91%",0.08,0.28,0,0,0,0,0,0,0,1,1,1
"n_avl_idx_fing",6112,"100.00%",0,"0.00%",0.82,0.38,0,0,0,1,1,1,1,1,1,1
"n_avl_idx_teri",6112,"100.00%",0,"0.00%",0.41,0.49,0,0,0,0,0,1,1,1,1,1
"n_avl_idx_tecf",6112,"100.00%",0,"0.00%",0.31,0.46,0,0,0,0,0,1,1,1,1,1
"n_avl_idx_alem",6112,"100.00%",0,"0.00%",0.4,0.49,0,0,0,0,0,1,1,1,1,1
"n_avl_idx_pegint",6112,"100.00%",0,"0.00%",0.15,0.36,0,0,0,0,0,0,1,1,1,1
"n_relapse_or_prog",6112,"100.00%",0,"0.00%",0.27,0.44,0,0,0,0,0,1,1,1,1,1
"n_relapse_and_prog",6112,"100.00%",0,"0.00%",0.04,0.21,0,0,0,0,0,0,0,0,1,1
"n_relapse_or_conf",6112,"100.00%",0,"0.00%",0.24,0.43,0,0,0,0,0,0,1,1,1,1
"n_idxyr",6112,"100.00%",0,"0.00%",2012.47,1.54,2010,2010,2010,2011,2013,2014,2014,2015,2015,2015
